Wall time,Step,Value
1787865366.338523,1,0.0
1787865740.8762834,2,0.005275570787489414
1787866125.551067,3,0.04829707369208336
1787866675.9194345,4,0.06335141509771347
1787867589.2377224,5,0.08550937473773956
1787868162.5912945,6,0.13976196944713593
1787868736.449945,7,0.1217879056930542
1787869297.834823,8,0.16470424830913544
1787869866.8119755,9,0.1740715652704239
1787870428.6151912,10,0.2021803855895996
1787870982.5777779,11,0.2219208925962448
1787871539.0232968,12,0.18895089626312256
1787872090.468864,13,0.19694888591766357
1787872645.5126097,14,0.19332976639270782
1787873195.240745,15,0.14253278076648712
1787873746.225342,16,0.18570606410503387
1787874310.753427,17,0.1935148537158966
1787874860.7499022,18,0.18676556646823883
1787875413.7392468,19,0.20069952309131622
1787875965.4027169,20,0.19277489185333252
