Wall time,Step,Value
1787901450.7590404,1,0.07718639075756073
1787901813.3242764,2,0.20063455402851105
1787902321.7129447,3,0.11133386194705963
1787902821.2739978,4,0.1042330339550972
1787903362.165945,5,0.23014186322689056
1787903873.2835915,6,0.32620885968208313
1787904380.5265913,7,0.2521807551383972
1787904883.8926716,8,0.2555276155471802
1787905389.2357693,9,0.1489887237548828
1787905893.6895177,10,0.2365705817937851
1787906403.5460358,11,0.26710522174835205
1787906901.005221,12,0.2888420820236206
1787907401.5062892,13,0.2783607244491577
1787907902.5559936,14,0.25285765528678894
1787908403.686641,15,0.36901572346687317
1787908911.4009557,16,0.34991657733917236
1787909412.6438484,17,0.057126402854919434
1787909920.595535,18,0.32367560267448425
1787910421.9239173,19,0.3086291551589966
1787910923.6409936,20,0.3379463851451874
1787911426.7196267,21,0.2618291974067688
1787911933.7397444,22,0.2770974338054657
1787912435.7603161,23,0.27873098850250244
1787912940.3381166,24,0.18724395334720612
1787913442.747688,25,0.11457085609436035
1787913946.0100427,26,0.2792190611362457
1787914454.2076702,27,0.20192672312259674
1787914955.5537786,28,0.1541912704706192
1787915454.3035996,29,0.22518615424633026
1787915947.1132865,30,0.2648083567619324
1787916446.9225419,31,0.295975923538208
1787916967.506079,32,0.29051709175109863
1787917497.0019343,33,0.3033565580844879
1787918023.357205,34,0.2332126647233963
1787918546.5438132,35,0.22092047333717346
1787919073.4260986,36,0.2861116826534271
1787919599.978201,37,0.28213149309158325
1787920127.663644,38,0.270056813955307
1787920665.524074,39,0.2755814790725708
