Wall time,Step,Value
1787734530.393267,1,0.03384668380022049
1787734921.255472,2,0.016963647678494453
1787735313.00652,3,0.06188083812594414
1787735813.2943244,4,0.018214166164398193
1787736325.3084078,5,0.08117593079805374
1787736833.647233,6,0.13316750526428223
1787737336.366594,7,0.08026028424501419
1787737840.6754854,8,0.17726793885231018
1787738354.3183877,9,0.20679761469364166
1787738878.8710208,10,0.2968604266643524
1787739409.327476,11,0.24620728194713593
1787739934.3552175,12,0.21547222137451172
1787740446.8189223,13,0.3112812042236328
1787740960.0146773,14,0.33198803663253784
1787741468.7907302,15,0.32821911573410034
1787741979.1794238,16,0.3631970286369324
1787742489.4512115,17,0.35550570487976074
1787742999.3124094,18,0.3749203085899353
1787743505.383022,19,0.39141228795051575
1787744021.573149,20,0.38251057267189026
