Wall time,Step,Value
1787876539.5406976,1,0.22353233397006989
1787877068.7286365,2,0.22698400914669037
1787877593.0769281,3,0.2287294864654541
1787878115.8257663,4,0.2241028994321823
1787878641.3709896,5,0.2374081313610077
1787879165.8835297,6,0.22565899789333344
1787879705.858413,7,0.2336973398923874
1787880246.4214518,8,0.2255539447069168
1787880781.6638331,9,0.22165539860725403
1787881310.809579,10,0.22374098002910614
1787881838.4064922,11,0.23227716982364655
1787882360.5076303,12,0.22281882166862488
1787882889.8543847,13,0.2265646606683731
1787883421.069684,14,0.2202707827091217
1787883944.621337,15,0.21646803617477417
1787884464.3109715,16,0.22487105429172516
1787884994.549484,17,0.22461773455142975
1787885527.9971704,18,0.22046294808387756
1787886056.847788,19,0.2196592390537262
1787886585.3063676,20,0.2238350808620453
1787887111.201853,21,0.23149535059928894
1787887632.6383686,22,0.22794044017791748
1787888159.9033446,23,0.2283882349729538
1787888693.0400414,24,0.22630096971988678
1787889221.7607217,25,0.22253762185573578
1787889744.5833106,26,0.2247978299856186
1787890267.9821532,27,0.22857441008090973
1787890791.030375,28,0.2256929874420166
1787891315.1358232,29,0.22649095952510834
1787891838.8264425,30,0.22136850655078888
1787892367.5441687,31,0.22532424330711365
1787892891.0092351,32,0.2266378104686737
1787893417.3173575,33,0.22494328022003174
1787893945.6995032,34,0.22598060965538025
1787894474.7930577,35,0.23125509917736053
1787895010.6117532,36,0.21983741223812103
1787895533.7567952,37,0.23228245973587036
1787896062.8909268,38,0.22453947365283966
1787896588.5205102,39,0.22604526579380035
1787897115.8122709,40,0.23142525553703308
