threshold,tp,tn,fp,fn,precision,recall,specificity,f1,youden_j
0.0,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.01,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.02,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.03,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.04,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.05,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.06,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.07,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.08,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.09,1202,0,4134,0,0.2252623688155922,1.0,0.0,0.3676965432854084,0.0
0.1,1202,11,4123,0,0.22572769953051644,1.0,0.002660861151427189,0.3683162249119044,0.002660861151427163
0.11,1202,98,4036,0,0.22947689957999237,1.0,0.02370585389453314,0.37329192546583856,0.02370585389453317
0.12,1201,312,3822,1,0.23910013935894883,0.9991680532445923,0.07547169811320754,0.385863453815261,0.07463975135779988
0.13,1198,599,3535,4,0.2531164166490598,0.9966722129783694,0.14489598451862604,0.40370682392586354,0.14156819749699534
0.14,1196,863,3271,6,0.2677412133422879,0.9950083194675541,0.20875665215287856,0.4219439054506968,0.2037649716204326
0.15,1195,1084,3050,7,0.28150765606595995,0.9941763727121464,0.2622157716497339,0.438773636864329,0.2563921443618804
0.16,1192,1287,2847,10,0.29512255508789303,0.9916805324459235,0.3113207547169811,0.4548750238504102,0.30300128716290464
0.17,1192,1449,2685,10,0.30745421717823057,0.9916805324459235,0.3505079825834543,0.46938373695609364,0.34218851502937775
0.18,1190,1595,2539,12,0.3191204076159828,0.9900166389351082,0.3858248669569424,0.4826607179071182,0.37584150589205056
0.19,1188,1736,2398,14,0.3312883435582822,0.9883527454242929,0.41993226898887276,0.49624060150375937,0.40828501441316556
0.2,1186,1875,2259,16,0.34426705370101596,0.9866888519134775,0.45355587808417996,0.5104368409726706,0.4402447299976575
0.21,1181,1985,2149,21,0.3546546546546547,0.9825291181364393,0.48016448959845187,0.5211827007943513,0.4626936077348911
0.22,1176,2108,2026,26,0.36727045596502184,0.978369384359401,0.5099177552007741,0.5340599455040873,0.4882871395601751
0.23,1172,2212,1922,30,0.37879767291531996,0.9750415973377704,0.5350749879051766,0.5456238361266295,0.510116585242947
0.24,1165,2309,1825,37,0.3896321070234114,0.9692179700499168,0.5585389453313981,0.5558206106870229,0.5277569153813149
0.25,1157,2395,1739,45,0.3995165745856354,0.9625623960066556,0.5793420416061925,0.5646656905807712,0.5419044376128481
0.26,1147,2491,1643,55,0.4111111111111111,0.9542429284525791,0.6025641025641025,0.5746492985971944,0.5568070310166817
0.27,1135,2581,1553,67,0.42224702380952384,0.9442595673876872,0.6243347847121432,0.5835475578406171,0.5685943520998304
0.28,1128,2657,1477,74,0.4330134357005758,0.9384359400998337,0.6427189163038219,0.5925925925925926,0.5811548564036557
0.29,1114,2741,1393,88,0.4443558037495014,0.9267886855241264,0.6630382196419933,0.60070099757347,0.5898269051661198
0.3,1097,2810,1324,105,0.453118546055349,0.9126455906821963,0.679729075955491,0.6055754899254762,0.5923746666376872
0.31,1079,2897,1237,123,0.46588946459412783,0.8976705490848585,0.700774068698597,0.6134167140420693,0.5984446177834557
0.32,1073,2988,1146,129,0.4835511491662911,0.8926788685524126,0.7227866473149492,0.6273019584916691,0.6154655158673619
0.33,1058,3078,1056,144,0.5004730368968779,0.8801996672212978,0.7445573294629898,0.6381182147165259,0.6247569966842876
0.34,1037,3160,974,165,0.5156638488314271,0.8627287853577371,0.764392839864538,0.6455026455026456,0.6271216252222751
0.35,1017,3230,904,185,0.5294117647058824,0.846089850249584,0.7813255926463474,0.6512968299711815,0.6274154428959315
0.36,1003,3305,829,199,0.5474890829694323,0.8344425956738769,0.7994678277697146,0.6611733684904416,0.6339104234435915
0.37,981,3382,752,221,0.566070398153491,0.8161397670549085,0.8180938558297048,0.6684838160136286,0.6342336228846133
0.38,955,3446,688,247,0.581253804017042,0.7945091514143094,0.8335752298016449,0.6713532513181019,0.6280843812159542
0.39,912,3509,625,290,0.5933636955107352,0.7587354409317804,0.8488147073052733,0.6659364731653888,0.6075501482370536
0.4,886,3569,565,316,0.6106133700895934,0.7371048252911814,0.8633284954039671,0.6679231059178289,0.6004333206951484
0.41,856,3633,501,346,0.6308032424465734,0.7121464226289518,0.8788098693759071,0.669011332551778,0.5909562920048588
0.42,825,3693,441,377,0.6516587677725119,0.6863560732113144,0.8933236574746009,0.6685575364667746,0.5796797306859154
0.43,790,3755,379,412,0.6757912745936698,0.6572379367720466,0.9083212385099177,0.6663854913538593,0.5655591752819644
0.44,760,3800,334,442,0.6946983546617916,0.632279534109817,0.919206579583938,0.662020905923345,0.551486113693755
0.45,722,3852,282,480,0.7191235059760956,0.6006655574043261,0.9317851959361393,0.6545784224841341,0.5324507533404654
0.46,678,3893,241,524,0.7377584330794341,0.5640599001663894,0.9417029511369134,0.6393210749646394,0.5057628513033028
0.47,633,3926,208,569,0.7526753864447087,0.5266222961730449,0.949685534591195,0.619676945668135,0.4763078307642399
0.48,587,3956,178,615,0.7673202614379085,0.48835274542429286,0.9569424286405418,0.5968479918657855,0.44529517406483476
0.49,547,3982,152,655,0.7825464949928469,0.4550748752079867,0.9632317368166424,0.5754865860073645,0.41830661202462904
0.5,504,4004,130,698,0.7949526813880127,0.4193011647254576,0.9685534591194969,0.5490196078431373,0.3878546238449545
0.51,459,4029,105,743,0.8138297872340425,0.38186356073211314,0.974600870827286,0.5198187995469988,0.3564644315593992
0.52,412,4055,79,790,0.8391038696537678,0.3427620632279534,0.9808901790033866,0.4867099822799764,0.3236522422313399
0.53,349,4075,59,853,0.8553921568627451,0.29034941763727123,0.9857281083696178,0.4335403726708075,0.27607752600688906
0.54,309,4086,48,893,0.865546218487395,0.25707154742096505,0.988388969521045,0.3964079538165491,0.2454605169420101
0.55,274,4096,38,928,0.8782051282051282,0.22795341098169716,0.9908079342041606,0.36195508586525754,0.21876134518585766
0.56,235,4103,31,967,0.8834586466165414,0.19550748752079866,0.9925012094823416,0.3201634877384196,0.18800869700314027
0.57,195,4109,25,1007,0.8863636363636364,0.1622296173044925,0.9939525882922109,0.2742616033755274,0.15618220559670348
0.58,157,4119,15,1045,0.9127906976744186,0.13061564059900166,0.9963715529753265,0.22852983988355166,0.1269871935743283
0.59,129,4124,10,1073,0.9280575539568345,0.10732113144758736,0.9975810353168844,0.1923937360178971,0.10490216676447162
0.6,105,4128,6,1097,0.9459459459459459,0.08735440931780367,0.9985486211901307,0.15993907083015996,0.08590303050793424
0.61,73,4132,2,1129,0.9733333333333334,0.06073211314475874,0.9995162070633768,0.11433046202036022,0.06024832020813564
0.62,49,4133,1,1153,0.98,0.04076539101497504,0.9997581035316885,0.07827476038338657,0.040523494546663485
0.63,31,4134,0,1171,1.0,0.025790349417637273,1.0,0.05028386050283861,0.02579034941763725
0.64,20,4134,0,1182,1.0,0.016638935108153077,1.0,0.03273322422258592,0.016638935108153063
0.65,10,4134,0,1192,1.0,0.008319467554076539,1.0,0.0165016501650165,0.008319467554076532
0.66,4,4134,0,1198,1.0,0.0033277870216306157,1.0,0.006633499170812604,0.0033277870216306127
0.67,2,4134,0,1200,1.0,0.0016638935108153079,1.0,0.0033222591362126247,0.0016638935108153063
0.68,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.69,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.7,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.71,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.72,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.73,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.74,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.75,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.76,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.77,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.78,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.79,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.8,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.81,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.82,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.83,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.84,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.85,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.86,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.87,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.88,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.89,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.9,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.91,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.92,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.93,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.94,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.95,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.96,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.97,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.98,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
0.99,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
1.0,0,4134,0,1202,0.0,0.0,1.0,0.0,0.0
